;epoch;value;type;metric;fold
184;17;0.29254358871416614;Training;Loss;2
185;17;1.865025003751119;Validation;Loss;2
186;17;0.942457231726283;Training;Accuracy;2
187;17;0.4658385093167702;Validation;Accuracy;2
188;18;0.23878592388196426;Training;Loss;2
189;18;2.0042341152826944;Validation;Loss;2
190;18;0.9533437013996889;Training;Accuracy;2
191;18;0.4472049689440994;Validation;Accuracy;2
192;19;0.22465813566337933;Training;Loss;2
193;19;2.292674938837687;Validation;Loss;2
194;19;0.9471228615863142;Training;Accuracy;2
195;19;0.4409937888198758;Validation;Accuracy;2
196;20;0.16873364929448476;Training;Loss;2
197;20;2.078469673792521;Validation;Loss;2
198;20;0.9642301710730948;Training;Accuracy;2
199;20;0.4782608695652174;Validation;Accuracy;2
200;21;0.13871262764388864;Training;Loss;2
201;21;2.0271474917729697;Validation;Loss;2
202;21;0.9813374805598756;Training;Accuracy;2
203;21;0.4968944099378882;Validation;Accuracy;2
204;22;0.1171447756615552;Training;Loss;2
205;22;2.3262319564819336;Validation;Loss;2
206;22;0.9813374805598756;Training;Accuracy;2
207;22;0.45962732919254656;Validation;Accuracy;2
208;23;0.07882479534865441;Training;Loss;2
209;23;2.2430773178736367;Validation;Loss;2
210;23;0.9891135303265941;Training;Accuracy;2
211;23;0.45962732919254656;Validation;Accuracy;2
212;0;2.5394002090800893;Training;Loss;3
213;0;1.9892380237579346;Validation;Loss;3
214;0;0.18506998444790046;Training;Accuracy;3
215;0;0.2546583850931677;Validation;Accuracy;3
216;1;1.983850511637601;Training;Loss;3
217;1;1.8561978737513225;Validation;Loss;3
218;1;0.2846034214618974;Training;Accuracy;3
219;1;0.33540372670807456;Validation;Accuracy;3
220;2;1.7055469101125544;Training;Loss;3
221;2;1.7611939907073975;Validation;Loss;3
222;2;0.37947122861586313;Training;Accuracy;3
223;2;0.36645962732919257;Validation;Accuracy;3
224;3;1.4562910253351384;Training;Loss;3
225;3;1.594038685162862;Validation;Loss;3
226;3;0.5116640746500778;Training;Accuracy;3
227;3;0.453416149068323;Validation;Accuracy;3
228;4;1.221791316162456;Training;Loss;3
229;4;1.5645370483398438;Validation;Loss;3
230;4;0.5660964230171073;Training;Accuracy;3
231;4;0.4161490683229814;Validation;Accuracy;3
232;5;1.1313870549201965;Training;Loss;3
233;5;1.7026352882385254;Validation;Loss;3
234;5;0.6205287713841369;Training;Accuracy;3
235;5;0.4472049689440994;Validation;Accuracy;3
236;6;0.8680918866937811;Training;Loss;3
237;6;1.8467182715733845;Validation;Loss;3
238;6;0.7418351477449455;Training;Accuracy;3
239;6;0.40372670807453415;Validation;Accuracy;3
240;7;0.720988235690377;Training;Loss;3
241;7;1.7799089749654133;Validation;Loss;3
242;7;0.7853810264385692;Training;Accuracy;3
243;7;0.39751552795031053;Validation;Accuracy;3
244;8;0.4928958023136312;Training;Loss;3
245;8;1.7466323773066204;Validation;Loss;3
246;8;0.8460342146189735;Training;Accuracy;3
247;8;0.453416149068323;Validation;Accuracy;3
248;9;0.2722744406624274;Training;Loss;3
249;9;1.8939531644185383;Validation;Loss;3
250;9;0.9393468118195957;Training;Accuracy;3
251;9;0.5031055900621118;Validation;Accuracy;3
252;10;0.19623318246819757;Training;Loss;3
253;10;1.836367130279541;Validation;Loss;3
254;10;0.9642301710730948;Training;Accuracy;3
255;10;0.4720496894409938;Validation;Accuracy;3
256;11;0.1232070265845819;Training;Loss;3
257;11;1.9940226078033447;Validation;Loss;3
258;11;0.9751166407465007;Training;Accuracy;3
259;11;0.4720496894409938;Validation;Accuracy;3
260;12;0.06188529255715283;Training;Loss;3
261;12;2.2996694246927896;Validation;Loss;3
262;12;0.9922239502332815;Training;Accuracy;3
263;12;0.4906832298136646;Validation;Accuracy;3
264;13;0.03894611295651306;Training;Loss;3
265;13;2.2135980129241943;Validation;Loss;3
266;13;0.995334370139969;Training;Accuracy;3
267;13;0.4906832298136646;Validation;Accuracy;3
268;14;0.03091545468619601;Training;Loss;3
269;14;2.2150802612304688;Validation;Loss;3
270;14;0.9937791601866252;Training;Accuracy;3
271;14;0.5031055900621118;Validation;Accuracy;3
272;0;4.317693493582985;Training;Loss;4
273;0;2.178969939549764;Validation;Loss;4
274;0;0.15062111801242237;Training;Accuracy;4
275;0;0.3125;Validation;Accuracy;4
276;1;2.0255872661417182;Training;Loss;4
277;1;1.9394131898880005;Validation;Loss;4
278;1;0.2919254658385093;Training;Accuracy;4
279;1;0.30625;Validation;Accuracy;4
280;2;1.8054710951718418;Training;Loss;4
281;2;1.7726394335428874;Validation;Loss;4
282;2;0.37732919254658387;Training;Accuracy;4
283;2;0.375;Validation;Accuracy;4
284;3;1.588474913076921;Training;Loss;4
285;3;1.7045950094858806;Validation;Loss;4
286;3;0.4440993788819876;Training;Accuracy;4
287;3;0.45625;Validation;Accuracy;4
288;4;1.3995696197856555;Training;Loss;4
289;4;1.6320743560791016;Validation;Loss;4
290;4;0.5232919254658385;Training;Accuracy;4
291;4;0.46875;Validation;Accuracy;4
292;5;1.1996812278574163;Training;Loss;4
293;5;1.6931878725687664;Validation;Loss;4
294;5;0.577639751552795;Training;Accuracy;4
295;5;0.39375;Validation;Accuracy;4
296;6;0.966350494460626;Training;Loss;4
297;6;2.0506311655044556;Validation;Loss;4
298;6;0.6413043478260869;Training;Accuracy;4
299;6;0.4125;Validation;Accuracy;4
300;7;0.8035730665380304;Training;Loss;4
301;7;1.7914337714513142;Validation;Loss;4
302;7;0.7267080745341615;Training;Accuracy;4
303;7;0.41875;Validation;Accuracy;4
304;8;0.688019419258291;Training;Loss;4
305;8;1.82002588113149;Validation;Loss;4
306;8;0.8322981366459627;Training;Accuracy;4
307;8;0.41875;Validation;Accuracy;4
308;9;0.47912183133038605;Training;Loss;4
309;9;2.070046583811442;Validation;Loss;4
310;9;0.8680124223602484;Training;Accuracy;4
311;9;0.425;Validation;Accuracy;4
312;10;0.3439797488125888;Training;Loss;4
313;10;2.442053476969401;Validation;Loss;4
314;10;0.9037267080745341;Training;Accuracy;4
315;10;0.43125;Validation;Accuracy;4
316;11;0.3647215271537954;Training;Loss;4
317;11;2.4343224366505942;Validation;Loss;4
318;11;0.9394409937888198;Training;Accuracy;4
319;11;0.46875;Validation;Accuracy;4
320;12;0.29728158902038226;Training;Loss;4
321;12;3.0320191383361816;Validation;Loss;4
322;12;0.922360248447205;Training;Accuracy;4
323;12;0.4125;Validation;Accuracy;4
324;13;0.221264395524155;Training;Loss;4
325;13;2.4270108540852866;Validation;Loss;4
326;13;0.9580745341614907;Training;Accuracy;4
327;13;0.4125;Validation;Accuracy;4
328;14;0.10336616567590019;Training;Loss;4
329;14;2.3751176993052163;Validation;Loss;4
330;14;0.9860248447204969;Training;Accuracy;4
331;14;0.4375;Validation;Accuracy;4
