fpr,tpr,class
0.9894179894179894,1.0,iron-Fe
1.0,1.0,iron-Fe
0.0,0.0,magnesium-Mg
0.0,0.0625,magnesium-Mg
0.0,0.1875,magnesium-Mg
0.005376344086021506,0.1875,magnesium-Mg
0.005376344086021506,0.5,magnesium-Mg
0.03763440860215054,0.5,magnesium-Mg
0.03763440860215054,0.5625,magnesium-Mg
0.043010752688172046,0.5625,magnesium-Mg
0.043010752688172046,0.625,magnesium-Mg
0.053763440860215055,0.625,magnesium-Mg
0.053763440860215055,0.6875,magnesium-Mg
0.07526881720430108,0.6875,magnesium-Mg
0.07526881720430108,0.75,magnesium-Mg
0.12365591397849462,0.75,magnesium-Mg
0.12365591397849462,0.8125,magnesium-Mg
0.1989247311827957,0.8125,magnesium-Mg
0.1989247311827957,0.875,magnesium-Mg
0.3548387096774194,0.875,magnesium-Mg
0.3548387096774194,0.9375,magnesium-Mg
0.5053763440860215,0.9375,magnesium-Mg
0.5053763440860215,1.0,magnesium-Mg
0.989247311827957,1.0,magnesium-Mg
1.0,1.0,magnesium-Mg
0.0,0.0,manganese-Mn
0.005376344086021506,0.0,manganese-Mn
0.005376344086021506,0.5625,manganese-Mn
0.010752688172043012,0.5625,manganese-Mn
0.010752688172043012,0.625,manganese-Mn
0.026881720430107527,0.625,manganese-Mn
0.026881720430107527,0.6875,manganese-Mn
0.08602150537634409,0.6875,manganese-Mn
0.08602150537634409,0.75,manganese-Mn
0.10752688172043011,0.75,manganese-Mn
0.10752688172043011,0.8125,manganese-Mn
0.3655913978494624,0.8125,manganese-Mn
0.3655913978494624,0.875,manganese-Mn
0.5591397849462365,0.875,manganese-Mn
0.5591397849462365,0.9375,manganese-Mn
0.7580645161290323,0.9375,manganese-Mn
0.7580645161290323,1.0,manganese-Mn
0.989247311827957,1.0,manganese-Mn
1.0,1.0,manganese-Mn
0.0,0.0,more-deficiencies
0.0,0.047619047619047616,more-deficiencies
0.0055248618784530384,0.047619047619047616,more-deficiencies
0.0055248618784530384,0.09523809523809523,more-deficiencies
0.011049723756906077,0.09523809523809523,more-deficiencies
0.011049723756906077,0.19047619047619047,more-deficiencies
0.016574585635359115,0.19047619047619047,more-deficiencies
0.016574585635359115,0.42857142857142855,more-deficiencies
0.022099447513812154,0.42857142857142855,more-deficiencies
0.022099447513812154,0.5714285714285714,more-deficiencies
0.03314917127071823,0.5714285714285714,more-deficiencies
0.03314917127071823,0.6190476190476191,more-deficiencies
0.03867403314917127,0.6190476190476191,more-deficiencies
0.03867403314917127,0.6666666666666666,more-deficiencies
0.10497237569060773,0.6666666666666666,more-deficiencies
0.10497237569060773,0.7619047619047619,more-deficiencies
0.14917127071823205,0.7619047619047619,more-deficiencies
0.14917127071823205,0.8095238095238095,more-deficiencies
0.16574585635359115,0.8095238095238095,more-deficiencies
0.16574585635359115,0.8571428571428571,more-deficiencies
0.2541436464088398,0.8571428571428571,more-deficiencies
0.2541436464088398,0.9047619047619048,more-deficiencies
0.3812154696132597,0.9047619047619048,more-deficiencies
0.3812154696132597,0.9523809523809523,more-deficiencies
0.4143646408839779,0.9523809523809523,more-deficiencies
0.4143646408839779,1.0,more-deficiencies
1.0,1.0,more-deficiencies
0.0,0.0,nitrogen-N
0.0,0.07692307692307693,nitrogen-N
0.0,0.23076923076923078,nitrogen-N
0.010582010582010581,0.23076923076923078,nitrogen-N
0.010582010582010581,0.5384615384615384,nitrogen-N
0.015873015873015872,0.5384615384615384,nitrogen-N
0.015873015873015872,0.7692307692307693,nitrogen-N
0.026455026455026454,0.7692307692307693,nitrogen-N
0.026455026455026454,0.8461538461538461,nitrogen-N
0.1693121693121693,0.8461538461538461,nitrogen-N
0.1693121693121693,0.9230769230769231,nitrogen-N
0.31746031746031744,0.9230769230769231,nitrogen-N
0.31746031746031744,1.0,nitrogen-N
1.0,1.0,nitrogen-N
0.0,0.0,phosphorus-P
0.0,0.32,phosphorus-P
0.0,0.82,phosphorus-P
